netuid,name,symbol,snapshot_utc,block,row_status,miner_burn,reg_cost_tao,reg_cost_usd,registration_allowed,max_uids,active_uids,free_uids,immunity_period,tempo,price_tao,tao_usd,subnet_age_days,registered_block,weights_version,mechanism_count,competitive_miner_alpha_day,competitive_miner_usd_day,competitive_miner_uid,competitive_median_usd_day,competitive_earners,median_miner_usd_day,top_miner_usd_day,top_miner_uid,top_miner_is_owner,top_miner_is_permitted,top1_share,top10_share,gini,earners,owner_cut_frac,owner_incentive_share,burn_disagreement,github_url_onchain,github_url_resolved,repo_status,repo_status_reason,readme_sha,readme_bytes,readme_task_sections,last_commit_utc,latest_release,latest_release_utc,scoring_commit_utc,scoring_commit_title,min_compute_present,min_compute_is_template,required_vram_gb,gpu_class_required,gpu_class_basis,machine_class_cheapest,machine_cost_usd_day,machine_tier,machine_assumed,net_margin_usd_day,net_margin_top_usd_day,payback_days,gate_status,gate_reason,income_pts,freshness_pts,resource_pts,registration_pts,freshness_reason,confidence,confidence_reason,score,rank,description,website
99,Thirty Spokes,გ,2026-08-24T11:39:23Z,8914566,ok,0,0.0005,0.119145,True,256,8,0,5000,360,0.00370677,238.29,47.6,8572056,0,1,983.96,869.118,163,869.118,1,869.118,869.118,107,False,True,0.333333,1,0,3,0.179995,0,0,,,none,no repo URL on chain,,0,,,,,,,False,False,,unknown,no evidence,rtx4090,8.2192,1,True,860.899,860.899,0,OK,,26.7,0,11.25,10,no challenge change on record,0.6,hardware requirement unknown; no README readable; repo none; income rests on 1 competitive miner (n<=2: not a distribution),28.8,60,,https://www.thirtyspokes.ai
100,BASE,დ,2026-08-24T11:39:23Z,8914566,ok,1,0.0005,0.119145,True,256,6,0,5000,360,0.00540098,238.29,308.5,6693448,0,1,,,,,0,3799.24,3799.24,0,True,True,1,1,0,1,0.179995,1,0,https://github.com/BaseIntelligence/base,https://github.com/BaseIntelligence/base,ok,,71adc45ee1719c58,3782,98275d6e78bda7a7,2026-08-22T04:12:39Z,v3.3.29,2026-08-22T04:04:45Z,2026-08-21T06:46:39Z,feat(prism): miner Verda BYOK alongside Lium,False,False,,unknown,no evidence,rtx4090,8.2192,1,True,,,,BLOCKED:burn,"miner_burn=1.000 - 100.0% of miner emission is withheld by owner-controlled hotkeys, so miners earn nothing here",,,,,,,,,,Verifiable AI research network,https://joinbase.ai
101,Tag101,ე,2026-08-24T11:39:23Z,8914566,ok,0.902566,0.0161411,3.84627,True,256,249,0,7200,360,0.00463279,238.29,476.8,5481350,0,1,2.07143,2.28675,13,0.99424,241,0.99424,2940.41,0,True,True,0.904654,0.910986,0.925864,242,0.180245,0.904654,0.0021,https://github.com/tag101-ai/tag101,https://github.com/tag101-ai/tag101,ok,,5d7f3907ccbb1187,7427,c9ad66825514fc62,2026-07-31T16:39:07Z,,,2026-07-31T16:39:07Z,Allocate 90% of validator weight to burn UID,True,False,0,cpu-only,min_compute.yml (curated),cpu-small,0.9863,0,False,0.0079,1.3005,486.87,OK,,0.03,21,15,0,SCORING_COMMIT 24d ago,1,,36,48,Tag101 is a Bittensor subnet for decentralized social post tagging,http://tag101.ai
102,ConnitoAI,ვ,2026-08-24T11:39:23Z,8914566,ok,0.250071,0.0229873,5.47765,True,256,9,0,5000,360,0.0100979,238.29,149.1,7840965,0,1,975.807,2348.01,20,1174.93,5,1436.09,2348.01,20,False,False,0.330571,1,0.403615,6,0.179995,0.250076,0,https://github.com/Connito-AI/Connito,https://github.com/Connito-AI/Connito,ok,,91745af6e0506594,970,,2026-08-23T19:26:14Z,v0.5.1 — release the finished round on swap,2026-08-23T19:28:11Z,2026-08-23T18:41:50Z,🩹 fix(validator): release the finished round on swap,False,False,,unknown,no evidence,rtx4090,8.2192,1,True,1166.71,2339.8,0,OK,,27.9,35,11.25,10,RELEASE 0.7d ago,0.85,hardware requirement unknown,71.5,5,"Contributors train specialized expert modules that are aggregated into powerful AI systems, without massive centralized compute.",https://connito.ai/
103,Capcomp,Ա,2026-08-24T11:39:23Z,8914566,ok,0.800007,1,238.29,True,256,13,174,5000,360,0.0101143,238.29,21.1,8762380,0,1,11.8018,28.4438,54,15.7418,9,18.8902,5691.81,0,True,True,0.800061,0.999573,0.859476,11,0.179995,0.800061,0.0001,https://github.com/orgs/Capcomp-AI/repositories,https://github.com/orgs/Capcomp-AI,ok,,,0,,,,,,,False,False,,unknown,no evidence,rtx4090,8.2192,1,True,7.5226,20.2247,31.68,OK,,8.46,35,11.25,0,subnet is 21 days old,0.6,hardware requirement unknown; no README readable,32.8,54,Capability Composition Subnet,http://capcomp.ai/
104,Masx.ai,Բ,2026-08-24T11:39:23Z,8914566,ok,0.952675,0.5,119.145,True,64,35,0,7200,360,0.00436032,238.29,470.3,5528520,0,1,9.68465,10.0626,2,7.11399,19,7.11399,2922.03,25,True,True,0.952797,0.978528,0.9109,21,0.179995,0.952797,0.0001,https://github.com/masxai/masxai-subnet,https://github.com/masxai/masxai-subnet,ok,,ecdec1e8a72189fc,7734,708acebd54cc33f2,2026-08-10T17:06:47Z,,,2026-08-10T16:47:17Z,fix validator weight-setting reliability and harden miner/BT-Forecast…,True,True,,unknown,no evidence,rtx4090,8.2192,1,True,-1.1052,1.8434,,OK,,0,21,11.25,0,SCORING_COMMIT 14d ago,0.85,hardware requirement unknown,27.4,65,Predictive Intelligence Layer for Bittensor,https://masxai.com/
105,Beam,Գ,2026-08-24T11:39:23Z,8914566,ok,0,0.0005,0.119145,True,256,217,0,7500,360,0.00747924,238.29,287.9,6841399,0,1,51.6214,92.0012,15,6.9041,211,6.9041,92.0012,15,False,False,0.0175168,0.170674,0.656416,211,0.179995,0,0,https://github.com/orgs/Beam-Network/repositories,https://github.com/orgs/Beam-Network,ok,,,0,,,,,,,False,False,,unknown,no evidence,rtx4090,8.2192,1,True,-1.3151,83.782,,OK,,0,0,11.25,0,no challenge change on record,0.6,hardware requirement unknown; no README readable,6.8,83,Decentralized bandwidth. A global network. Powering the open internet.,https://b1m.ai
106,Nodexo,Դ,2026-08-24T11:39:23Z,8914566,ok,0,0.0005,0.119145,True,256,39,0,5000,360,0.00302423,238.29,466.1,5558480,0,1,451.665,325.489,204,58.1544,22,58.1544,325.489,204,False,False,0.15303,0.827313,0.503553,22,0.179995,0,0,https://github.com/nodexo-ai/nodexo,https://github.com/nodexo-ai/nodexo,ok,,3e2b40fef40a8d61,2453,,2026-07-23T13:10:03Z,v0.1.8 - Safer canaries and calibrated GPU support,2026-07-23T13:38:57Z,2026-07-16T09:27:42Z,feat: gate unrented miners by version,False,False,,unknown,no evidence,rtx4090,8.2192,1,True,49.9352,317.27,0,OK,,15.53,0,11.25,10,no challenge change on record,0.85,hardware requirement unknown,31.3,56,tokenized ai compute,https://nodexo.ai
107,Minos,ミ,2026-08-24T11:39:23Z,8914566,ok,0,0.99,235.907,True,100,28,0,14400,360,0.0691879,238.29,202.4,7457580,20,1,2655.8,43785.6,30,151.871,20,151.871,43785.6,30,False,False,0.89978,0.987638,0.902541,20,0.179995,0,0,https://github.com/minos-protocol/minos_subnet,https://github.com/minos-protocol/minos_subnet,ok,,3de104a23bc3b470,35697,9628fd9429b582ad,2026-08-10T14:53:40Z,"v0.2.0: Minos 🧬 — Miner onboarding (demo/practice), AI assistant, round-only scoring",2026-07-25T04:51:19Z,2026-07-30T06:35:32Z,Fix stale reward split: winner 90% / burn 0% / dust top-20,True,False,0,cpu-only,min_compute.yml (curated),cpu-small,0.9863,0,False,150.885,43784.6,1.56,OK,,19.84,21,15,9.48,README_TASK_DIFF 14d ago,1,,65.3,14,The Foundational Layer of Genomics,https://theminos.ai
108,Prometheon,Զ,2026-08-24T11:39:23Z,8914566,ok,0.656982,0.05,11.9145,True,256,17,88,5000,360,0.00325199,238.29,251.3,7105263,0,1,173.153,134.179,155,122.642,6,129.746,1502.88,0,True,True,0.657027,1,0.615932,9,0.179995,0.657027,0,https://github.com/BitSpaceorganization/prometheon_v2,https://github.com/BitSpaceorganization/prometheon_v2,ok,,e9c7020ffbc45934,6940,fa8dc13fe8c76401,2026-08-21T13:19:16Z,,,2026-08-21T13:19:16Z,fix(evaluation): reuse the prefix cache the pinned transformers returns,False,False,,unknown,no evidence,rtx4090,8.2192,1,True,114.423,125.96,0.1,OK,,18.76,35,11.25,9.97,SCORING_COMMIT 2.9d ago,0.85,hardware requirement unknown,63.7,18,AI-driven Platform Operations Automation,www.bitfan.ai
109,Finsight,՞,2026-08-24T11:39:23Z,8914566,ok,1,0.5,119.145,True,256,14,0,5000,360,0.00281439,238.29,230.2,7257480,0,1,,,,,0,1979.74,1979.74,0,True,True,1,1,0,1,0.179995,1,0,,,none,no repo URL on chain,,0,,,,,,,False,False,,unknown,no evidence,rtx4090,8.2192,1,True,,,,BLOCKED:burn,"miner_burn=1.000 - 100.0% of miner emission is withheld by owner-controlled hotkeys, so miners earn nothing here",,,,,,,,,,"Finsight is a decentralized personal investment intelligence. Turn the financial news, filings, and market data that touch an investor's holdings into scored, portfolio-aware signals. Bittensor powers finsight.tech, a Canada-first portfolio platform with native TFSA/RRSP logic, CRA-ready cost-basis ",https://finsight.tech/
110,Green Compute,Ѐ,2026-08-24T11:39:23Z,8914566,ok,0,0.0005,0.119145,True,256,15,0,5000,360,0.0105772,238.29,459.5,5606062,0,1,,,,,0,7440.35,7440.35,155,False,True,1,1,0,1,0.179995,0,0,,,none,no repo URL on chain,,0,,,,,,,False,False,,unknown,no evidence,rtx4090,8.2192,1,True,,,,OK,,0,0,11.25,0,no challenge change on record,0.6,hardware requirement unknown; no README readable; repo none,6.8,86,"Enterprise Inference Hardware, 100% Green Energy",https://www.green-compute.com/
111,Claims,Ё,2026-08-24T11:39:23Z,8914566,ok,1,0.0005,0.119145,True,256,10,0,5000,360,0.0068658,238.29,458.2,5615562,0,1,,,,,0,4829.65,4829.65,0,True,True,1,1,0,1,0.179995,1,0,https://github.com/DeSciClaims/Claims,https://github.com/DeSciClaims/Claims,ok,,80623be852b8b750,20399,f9f4504d0df2befc,2026-08-24T09:41:06Z,,,2026-08-23T16:36:27Z,feat(setup): add public miner and validator installers,False,False,,unknown,no evidence,rtx4090,8.2192,1,True,,,,BLOCKED:burn,"miner_burn=1.000 - 100.0% of miner emission is withheld by owner-controlled hotkeys, so miners earn nothing here",,,,,,,,,,Turning scientific literature into a structured claim-evidence graph,
112,minotaur,Ђ,2026-08-24T11:39:23Z,8914566,ok,0.799998,0.99,235.907,True,256,13,0,5000,360,0.00237812,238.29,455.8,5633022,0,1,590.403,334.572,104,334.572,1,836.416,1338.26,0,True,True,0.799997,1,0.299997,2,0.179995,0.799997,0,https://github.com/subnet112/minotaur_subnet,https://github.com/subnet112/minotaur_subnet,ok,,5d32aa53e86ef077,16012,c791d1d7226f6c40,2026-08-22T21:37:59Z,,,2026-08-22T21:28:29Z,fix(api): app creation accepted code it could not validate (#1618),False,False,,unknown,no evidence,rtx4090,8.2192,1,True,326.352,326.352,0.72,OK,,22.87,35,11.25,9.76,SCORING_COMMIT 1.6d ago,0.6,hardware requirement unknown; income rests on 1 competitive miner (n<=2: not a distribution),47.3,32,Distributed DEX aggregator and swap intent solver engine,https://minotaursubnet.com
113,TensorUSD,Ѓ,2026-08-24T11:39:23Z,8914566,ok,1,0.001,0.23829,True,256,14,100,5000,360,0.00263741,238.29,249.3,7119664,0,2,,,,,0,1818.48,1818.48,0,True,True,1,1,0,1,0.196247,1,0,https://github.com/TensorUSD/subnet,https://github.com/TensorUSD/subnet,ok,,fbc87490cce4f46f,8594,efcfe872979b9d9b,2026-08-18T18:57:11Z,V1,2026-03-10T10:14:42Z,,,True,True,,unknown,no evidence,rtx4090,8.2192,1,True,,,,BLOCKED:burn,"miner_burn=1.000 - 100.0% of miner emission is withheld by owner-controlled hotkeys, so miners earn nothing here",,,,,,,,,,A reserve-backed stablecoin designed to support 1:1 redeemability for US Dollar within the Bittensor ecosystem.,https://tensorusd.com
114,SOMA,Є,2026-08-24T11:39:23Z,8914566,ok,0,0.25,59.5725,True,256,12,0,5000,360,0.0111007,238.29,222.5,7312241,0,1,0.0450449,0.119152,171,0.119152,1,2732.86,5075.38,70,False,True,0.649993,1,0.433319,3,0.179995,0,0,https://github.com/DendriteHQ/SOMA,https://github.com/DendriteHQ/SOMA,ok,,6d863bdcc93e393b,6190,2fc3f0aee950e377,2026-08-19T09:57:23Z,QA Validation,2026-05-20T11:11:37Z,2026-08-17T12:09:26Z,hotfix(scoring): exclude comp 112 stage 2 from final score,False,False,,unknown,no evidence,rtx4090,8.2192,1,True,-8.1,-8.1,,OK,,0,35,11.25,0,SCORING_COMMIT 6.9d ago,0.6,hardware requirement unknown; income rests on 1 competitive miner (n<=2: not a distribution),27.8,62,Context compression layer delivered through MCP infrastructure,https://thesoma.ai
115,HashiChain,Ѕ,2026-08-24T11:39:23Z,8914566,ok,1,0.0005,0.119145,True,256,19,0,21845,360,0.00266496,238.29,448.7,5683635,68200,1,,,,,0,1874.63,1874.63,0,True,True,1,1,0,1,0.179995,1,0,https://github.com/hashi115/hashichain,https://github.com/hashi115/hashichain,ok,,7221734047edd1d6,2234,,2025-12-08T07:03:39Z,,,,,False,False,,unknown,no evidence,rtx4090,8.2192,1,True,,,,BLOCKED:burn,"miner_burn=1.000 - 100.0% of miner emission is withheld by owner-controlled hotkeys, so miners earn nothing here",,,,,,,,,,The First Public Blockchain Designed for AI Agents,
116,Memo,ъ,2026-08-24T11:39:23Z,8914566,ok,1,0.000587792,0.140065,True,256,11,2,5000,360,0.00773945,238.29,86.1,8294730,0,1,,,,,0,5444.21,5444.21,0,True,True,1,1,0,1,0.179995,1,0,,,none,no repo URL on chain,,0,,,,,,,False,False,,unknown,no evidence,rtx4090,8.2192,1,True,,,,BLOCKED:burn,"miner_burn=1.000 - 100.0% of miner emission is withheld by owner-controlled hotkeys, so miners earn nothing here",,,,,,,,,,,
117,glyph,Ⲁ,2026-08-24T11:39:23Z,8914566,ok,0,1,238.29,True,256,7,129,21600,360,0.00250483,238.29,445,5710859,1030,1,,,,,0,1761.99,1761.99,125,False,True,1,1,0,1,0.179995,0,0,https://github.com/glyph-research/glyph-subnet,https://github.com/glyph-research/glyph-subnet,ok,,8d65ea7a084472d6,8808,c3ef95c8c64cf403,2026-07-24T10:14:00Z,,,2026-07-24T08:12:17Z,Bump version to 1.3.0 (dynamic reward distribution release),False,False,,unknown,no evidence,rtx4090,8.2192,1,True,,,,OK,,0,0,11.25,0,no challenge change on record,0.85,hardware requirement unknown,9.6,82,decentralized Hutter Prize,https://glyph-research.org
118,Ditto,ⲁ,2026-08-24T11:39:23Z,8914566,ok,0,0.0005,0.119145,True,256,18,0,300,360,0.011483,238.29,443,5724794,0,1,1928.78,5277.7,225,690.111,4,811.888,5277.7,225,False,False,0.653396,1,0.522857,5,0.179995,0,0,https://github.com/orgs/ditto-assistant/repositories,https://github.com/orgs/ditto-assistant,ok,,,0,,,,,,,False,False,,unknown,no evidence,rtx4090,8.2192,1,True,681.892,5269.48,0,OK,,25.78,0,11.25,10,no challenge change on record,0.6,hardware requirement unknown; no README readable,28.2,61,Open-Source Claude Cowork,https://heyditto.ai
119,Satori,Ⲃ,2026-08-24T11:39:23Z,8914566,ok,1,0.0005,0.119145,True,256,11,0,3600,360,0.00278046,238.29,440.8,5740660,11901,1,,,,,0,1955.88,1955.88,0,True,True,1,1,0,1,0.179995,1,0,https://github.com/Satori119/Satori,https://github.com/Satori119/Satori,dead,HTTP 404 (deleted or private),,0,,,,,,,False,False,,unknown,no evidence,rtx4090,8.2192,1,True,,,,BLOCKED:burn,"miner_burn=1.000 - 100.0% of miner emission is withheld by owner-controlled hotkeys, so miners earn nothing here",,,,,,,,,,"Satori constructs a persistent 'Second Life' in Japan. We merge deep AI companionship with authentic Digital Residency, creating a seamless bridge where virtual emotional connections unlock real-world value and physical experiences.",
120,Affine,ⴷ,2026-08-24T11:39:23Z,8914566,ok,0,1.25453,298.942,True,256,9,0,5000,360,0.0536306,238.29,439.6,5749344,0,1,590.358,7544.57,227,7544.57,2,7544.57,7544.57,170,False,True,0.2,1,0,5,0.179995,0,0,https://github.com/AffineFoundation/affine,https://github.com/AffineFoundation/affine,ok,,,0,,2026-08-22T14:36:49Z,,,2026-08-18T20:00:48Z,"Sync Reason v4 (wvk=7) into score, contract, website, and docs.",False,False,,unknown,no evidence,rtx4090,8.2192,1,True,7536.35,7536.35,0.04,OK,,35.26,35,11.25,9.99,SCORING_COMMIT 5.6d ago,0.6,hardware requirement unknown; no README readable; income rests on 2 competitive miners (n<=2: not a distribution),54.9,25,Reason Mining,www.affine.io
121,sundae_bar,Ⲅ,2026-08-24T11:39:23Z,8914566,ok,1,0.0005,0.119145,True,256,10,0,5000,360,0.00452941,238.29,437.2,5766528,0,1,,,,,0,3186.15,3186.15,0,True,True,1,1,0,1,0.179995,1,0,https://github.com/sundae-bar/bittensor-subnet,https://github.com/sundae-bar/bittensor-subnet,ok,,21c561984661b1f8,16138,4de589f5fb4cb70d,2026-08-14T18:47:24Z,,,2026-08-14T18:47:24Z,Rewrite SN121 README for the live skill evaluation and incentive model,False,False,0,cpu-only (dev box),code-submission (validator runs it),cpu-small,0.9863,0,False,,,,BLOCKED:burn,"miner_burn=1.000 - 100.0% of miner emission is withheld by owner-controlled hotkeys, so miners earn nothing here",,,,,,,,,,An enterprise AI platform that turns real business needs into ready-to-use AI solutions.,https://www.sundaebar.ai/
122,CookingTAO,ⲅ,2026-08-24T11:39:23Z,8914566,ok,1,1,238.29,True,256,5,249,5000,360,0.00458937,238.29,94,8238082,0,1,,,,,0,3228.33,3228.33,0,True,True,1,1,0,1,0.179995,1,0,https://github.com/CookingTao,,org_only,"points at an org/user, not a repository: 'https://github.com/CookingTao'",,0,,,,,,,False,False,,unknown,no evidence,rtx4090,8.2192,1,True,,,,BLOCKED:burn,"miner_burn=1.000 - 100.0% of miner emission is withheld by owner-controlled hotkeys, so miners earn nothing here",,,,,,,,,,Democratizing Bittensor Mining.,https://cookingtao.com/
123,MANTIS,𑀀,2026-08-24T11:39:23Z,8914566,ok,0.350124,0.15,35.7435,True,256,255,0,5000,360,0.00250972,238.29,433.4,5794330,0,1,207.972,124.376,253,2.66693,243,2.66693,618.109,0,True,True,0.350787,0.549473,0.72803,249,0.179995,0.350787,0.0007,https://github.com/Barbariandev/MANTIS,https://github.com/Barbariandev/MANTIS,ok,,891528790510e50f,16267,6532d2da519e8960,2026-08-17T17:37:37Z,,,2026-07-17T19:12:26Z,Update validator.py,True,False,,unknown,no evidence,rtx4090,8.2192,1,True,-5.5522,116.157,,OK,,0,35,11.25,0,README_TASK_DIFF 6.7d ago,0.85,hardware requirement unknown,39.3,41,Incentivizing cooperative prediction,https://mantis123.com
124,Swarm,𑀁,2026-08-24T11:39:23Z,8914566,ok,0,0.550563,131.194,True,256,33,0,5000,360,0.0126315,238.29,430.7,5813454,0,1,885.582,2665.57,236,314.011,21,314.011,2665.57,236,False,False,0.300038,0.762152,0.439803,21,0.179995,0,0,https://github.com/swarm-subnet/swarm,https://github.com/swarm-subnet/swarm,ok,,d3d90ab579904671,13515,529bb5553b062684,2026-08-23T17:14:37Z,,,2026-08-23T12:20:55Z,Remove obsolete repo verify flag from docs,True,True,,unknown,no evidence,rtx4090,8.2192,1,True,305.792,2657.35,0.43,OK,,22.62,35,11.25,9.86,SCORING_COMMIT 0.9d ago,0.85,hardware requirement unknown,66.9,12,,www.swarm124.com
125,8 Ball,𑀂,2026-08-24T11:39:23Z,8914566,ok,1,0.000603748,0.143867,True,256,15,0,5000,360,0.00320413,238.29,427.8,5834408,0,1,,,,,0,2253.9,2253.9,0,True,True,1,1,0,1,0.179995,1,0,,,none,no repo URL on chain,,0,,,,,,,False,False,,unknown,no evidence,rtx4090,8.2192,1,True,,,,BLOCKED:burn,"miner_burn=1.000 - 100.0% of miner emission is withheld by owner-controlled hotkeys, so miners earn nothing here",,,,,,,,,,,
126,Poker44,𑀃,2026-08-24T11:39:23Z,8914566,ok,0,0.2,47.658,True,256,11,0,5000,360,0.00433232,238.29,192.9,7525773,0,1,,,,,0,3047.51,3047.51,145,False,True,1,1,0,1,0.179995,0,0,https://github.com/Poker44/Poker44-subnet,https://github.com/Poker44/Poker44-subnet,ok,,4484be79cf9a9779,5240,8ff67deb6bfb1a47,2026-08-14T15:47:24Z,,,2026-08-14T15:41:49Z,docs: describe continuous miner training tables,False,False,,unknown,no evidence,rtx4090,8.2192,1,True,,,,OK,,0,21,11.25,0,SCORING_COMMIT 10d ago,0.85,hardware requirement unknown,27.4,69,Decentralized Poker Platform with Bot Dection,https://poker44.net
127,Astrid,𑀅,2026-08-24T11:39:23Z,8914566,ok,1,0.0005,0.119145,True,256,12,0,5000,360,0.00308679,238.29,425.8,5848837,0,1,,,,,0,2171.36,2171.36,0,True,True,1,1,0,1,0.179995,1,0,https://github.com/astridintelligence/sn-127,https://github.com/astridintelligence/sn-127,ok,,79d7cc8329bfb1fe,3697,14d375dfd577d4b5,2026-07-28T09:01:50Z,,,2026-03-17T21:23:09Z,Account for miners with multiple hotkeys.,False,False,,unknown,no evidence,rtx4090,8.2192,1,True,,,,BLOCKED:burn,"miner_burn=1.000 - 100.0% of miner emission is withheld by owner-controlled hotkeys, so miners earn nothing here",,,,,,,,,,The capital axis for Bittensor.,https://www.astrid.global/
128,ByteLeap,න,2026-08-24T11:39:23Z,8914566,ok,0,0.0005,0.119145,True,256,31,0,5000,360,0.00293687,238.29,424.8,5856038,0,1,,,,,0,99.1104,192.011,117,False,True,0.0929569,0.649874,0.208002,20,0.179995,0,0,https://github.com/byteleapai/byteleap-Miner,https://github.com/byteleapai/byteleap-Miner,ok,,5fa2bf8ba61dd5a5,3306,fac0e762e93d4585,2026-08-11T02:08:13Z,refactor: split project architecture and update to v0.0.6,2026-01-12T15:00:30Z,2025-12-22T16:30:24Z,ops: Optimize the whitelist of validators,False,False,,unknown,no evidence,rtx4090,8.2192,1,True,,,,OK,,0,0,11.25,0,no challenge change on record,0.85,hardware requirement unknown,9.6,77,Pioneering the Future of Cloud & Blockchain,ByteLeap.ai
