netuid,name,symbol,snapshot_utc,block,row_status,miner_burn,reg_cost_tao,reg_cost_usd,registration_allowed,max_uids,active_uids,free_uids,immunity_period,tempo,price_tao,tao_usd,subnet_age_days,registered_block,weights_version,mechanism_count,competitive_miner_alpha_day,competitive_miner_usd_day,competitive_miner_uid,competitive_median_usd_day,competitive_earners,median_miner_usd_day,top_miner_usd_day,top_miner_uid,top_miner_is_owner,top_miner_is_permitted,top1_share,top10_share,gini,earners,owner_cut_frac,owner_incentive_share,burn_disagreement,github_url_onchain,github_url_resolved,repo_status,repo_status_reason,readme_sha,readme_bytes,readme_task_sections,last_commit_utc,latest_release,latest_release_utc,scoring_commit_utc,scoring_commit_title,min_compute_present,min_compute_is_template,required_vram_gb,gpu_class_required,gpu_class_basis,machine_class_cheapest,machine_cost_usd_day,machine_tier,machine_assumed,net_margin_usd_day,net_margin_top_usd_day,payback_days,gate_status,gate_reason,income_pts,freshness_pts,resource_pts,registration_pts,freshness_reason,confidence,confidence_reason,score,rank,description,website
79,MVTRX,ي,2026-08-24T11:39:23Z,8914566,ok,0,0.0849793,20.2497,True,256,225,0,7200,360,0.00694621,238.29,519.5,5173967,0,1,271.342,449.128,234,6.82192,224,6.82192,449.128,234,False,False,0.0920749,0.481483,0.739142,224,0.180021,0,0,https://github.com/taos-im/sn-79,https://github.com/taos-im/sn-79,ok,,05ebf8cc842cdff4,38952,c9a366a65ba77b9f,2026-08-21T13:43:29Z,,,,,True,False,0,cpu-only,min_compute.yml (curated),cpu-small,0.9863,0,False,5.8356,448.142,3.47,OK,,7.59,0,15,8.84,no challenge change on record,1,,31.4,55,Building a SOTA Exchange for dTAO and Beyond,https://taos.im
80,OpenRoboto,ى,2026-08-24T11:39:23Z,8914566,ok,0.906145,0.0005,0.119145,True,256,15,0,5000,360,0.0169096,238.29,244.8,7151800,0,1,193.918,781.371,252,223.067,3,502.219,10778.4,0,True,True,0.906183,1,0.684345,4,0.179995,0.906183,0,https://github.com/openroboto-ai/openroboto-subnet,https://github.com/openroboto-ai/openroboto-subnet,ok,,6c4f3575d2094293,4291,524075fdda445069,2026-08-08T04:28:24Z,,,2026-08-08T04:28:24Z,"protocol+docs: champion margin 0.01, unified status model, burn verif…",False,False,,unknown,no evidence,rtx4090,8.2192,1,True,214.848,773.152,0,OK,,21.23,21,11.25,10,SCORING_COMMIT 16d ago,0.85,hardware requirement unknown,54,27,An open competition on Bittensor for continuously improving robotics models,https://www.openroboto.ai/
81,Reliquary,ᚠ,2026-08-24T11:39:23Z,8914566,ok,0.0439584,0.0005,0.119145,True,256,44,0,10799,360,0.0066465,238.29,515.5,5203057,0,1,264.413,418.777,228,119.212,37,120.104,418.777,228,False,False,0.0895951,0.454065,0.323105,38,0.179995,0.0439581,0,https://github.com/reliquadotai/reliquary,https://github.com/reliquadotai/reliquary,ok,,1a32d40df328edc1,7833,,2026-08-23T05:43:18Z,,,2026-08-22T17:44:49Z,fix: train-worker compose must override the validator entrypoint,False,False,,unknown,no evidence,rtx4090,8.2192,1,True,110.993,410.558,0,OK,,18.64,35,11.25,10,SCORING_COMMIT 1.7d ago,0.85,hardware requirement unknown,63.7,19,The RL layer of Bittensor,https://www.reliqua.ai/
82,Compelle,ᚢ,2026-08-24T11:39:23Z,8914566,ok,0,0.0005,0.119145,True,64,9,0,8000,360,0.00320118,238.29,123.3,8026517,1778428951,1,2952.02,2251.83,15,2251.83,1,2251.83,2251.83,15,False,False,1,1,0,1,0.179995,0,0,https://github.com/compelle/compelle-validator,https://github.com/compelle/compelle-validator,ok,,9d2cebc64f52cdac,6640,,2026-08-21T01:59:52Z,,,2026-07-13T05:24:15Z,validator: pulse the watchdog during pre-tournament strategy screening,False,False,,unknown,no evidence,rtx4090,8.2192,1,True,2243.61,2243.61,0,OK,,30.48,0,11.25,10,no challenge change on record,0.6,hardware requirement unknown; income rests on 1 competitive miner (n<=2: not a distribution),31,57,AIs debate until they are AGI.,https://compelle.com
83,CliqueAI,ᚦ,2026-08-24T11:39:23Z,8914566,ok,0,0.112144,26.7228,True,256,245,0,6000,360,0.0104684,238.29,511.6,5231190,1,1,36.9241,92.1077,232,34.3719,190,30.4966,92.1077,232,False,False,0.0125459,0.103825,0.347039,238,0.180278,0,0,https://github.com/toptensor/CliqueAI,https://github.com/toptensor/CliqueAI,ok,,06647ea3be5dbb64,1650,98dbc690f979dc0c,2026-07-21T18:23:04Z,v0.0.13,2026-04-14T09:42:40Z,,,True,True,,unknown,no evidence,rtx4090,8.2192,1,True,26.1527,83.8885,1.02,OK,,13.04,0,11.25,9.66,no challenge change on record,0.85,hardware requirement unknown,28.9,59,CliqueAI - AI-Powered Maximum Clique Solver Network,https://cliqueai.toptensor.ai/
84,ansuz,ᚨ,2026-08-24T11:39:23Z,8914566,ok,0,0.9,214.461,True,64,63,0,0,360,0.00228105,238.29,115.2,8085297,1,1,981.528,533.512,13,0.0734528,23,0.0734528,533.512,13,False,False,0.332585,0.998077,0.940064,52,0.179995,0,0,,,none,no repo URL on chain,,0,,,,,,,False,False,,unknown,no evidence,rtx4090,8.2192,1,True,-8.1457,525.293,,OK,,0,0,11.25,0,no challenge change on record,0.6,hardware requirement unknown; no README readable; repo none,6.8,84,,
85,Vidaio,ᚱ,2026-08-24T11:39:23Z,8914566,ok,0,0.0005,0.119145,True,256,16,0,7000,360,0.00522676,238.29,507.7,5258781,0,1,354.233,441.192,165,147.045,7,147.045,1544.23,94,False,True,0.42003,0.880011,0.424656,13,0.179995,0,0,https://github.com/vidaio-subnet/vidaio-subnet,https://github.com/vidaio-subnet/vidaio-subnet,ok,,5b352c012435b07f,5127,0ffbf065ebde1446,2026-08-18T06:58:46Z,,,2026-08-18T06:57:35Z,debug VBR scoring in compression competitions (#196),False,False,,unknown,no evidence,rtx4090,8.2192,1,True,138.826,432.973,0,OK,,19.51,35,11.25,10,SCORING_COMMIT 6.2d ago,0.85,hardware requirement unknown,64.4,16,Next-Generation Video Processing Powered By AI,https://vidaio.io/
86,kaunan,ᚳ,2026-08-24T11:39:23Z,8914566,ok,0,0.0005,0.119145,True,256,4,117,5000,360,0.00598997,238.29,30.7,8693284,0,1,,,,,0,0,0,0,True,True,,,,1,,1,1,,,none,no repo URL on chain,,0,,,,,,,False,False,,unknown,no evidence,rtx4090,8.2192,1,True,,,,OK,,0,0,11.25,0,no challenge change on record,0.6,hardware requirement unknown; no README readable; repo none,6.8,85,,
87,Provenonce,Ы,2026-08-24T11:39:23Z,8914566,ok,1,0.001,0.23829,True,256,11,0,5000,360,0.00430282,238.29,236.9,7208725,0,2,,,,,0,3026.76,3026.76,0,True,True,1,1,0,1,0.179995,1,0,,,none,no repo URL on chain,,0,,,,,,,False,False,,unknown,no evidence,rtx4090,8.2192,1,True,,,,BLOCKED:burn,"miner_burn=1.000 - 100.0% of miner emission is withheld by owner-controlled hotkeys, so miners earn nothing here",,,,,,,,,,"verified execution of agentic workflows for enterprise, delivering Proof of Assurance",https://provenonce.ai
88,Investing,ᛉ,2026-08-24T11:39:23Z,8914566,ok,0,0.01,2.3829,True,256,137,0,21600,360,0.00467767,238.29,502.1,5299805,0,1,586.665,653.921,252,5.47277,125,5.47277,653.921,252,False,False,0.198943,0.651621,0.799072,125,0.179995,0,0,https://github.com/mobiusfund/investing,https://github.com/mobiusfund/investing,ok,,452b72be3caadcf8,12045,afb1f6ac01d629e7,2026-08-05T19:57:26Z,,,2026-06-09T23:57:43Z,Adjust score,True,True,,unknown,no evidence,rtx4090,8.2192,1,True,-2.7464,645.702,,OK,,0,21,11.25,0,README_TASK_DIFF 19d ago,0.85,hardware requirement unknown,27.4,66,Decentralized AUM,https://Investing88.ai
